Script gestart op: 25-2-2016 11:21:21
Clipboard tekst:~NAV-HEADER:Artikelen
Clipboard tekst:~NAV-ITEM:Artikelen
~BUTTON: btn_export ~FORMNAME: dd_prod_dd_prod_product_lst_frm
Clipboard tekst:~BUTTON:btn_export~FORMNAME:dd_prod_dd_prod_product_lst_frm
~BUTTON: btn_print ~FORMNAME: dd_prod_dd_prod_product_lst_frm
Clipboard tekst:~BUTTON:btn_print~FORMNAME:dd_prod_dd_prod_product_lst_frm
~FIELD: fld_productcode ~FORMNAME: dd_prod_dd_prod_product_tbl ~DATA: 2926.345.95 ~DP: e_product_code_display ~TYPE: TEXT_FIELD ~EDIT: FALSE
~BUTTON: btn_export ~FORMNAME: dd_prod_dd_prod_product_pan
Clipboard tekst:~BUTTON:btn_export~FORMNAME:dd_prod_dd_prod_product_pan
~BUTTON: btn_print ~FORMNAME: dd_prod_dd_prod_product_pan
Clipboard tekst:~BUTTON:btn_print~FORMNAME:dd_prod_dd_prod_product_pan
~BUTTON: btn_duplicate ~FORMNAME: dd_prod_dd_prod_product_pan
Clipboard tekst:~BUTTON:btn_duplicate~FORMNAME:dd_prod_dd_prod_product_pan
Clipboard tekst:~TAB:tabs~FORMNAME:dd_prod_dd_prod_product_frm1~TEXT:Voorraad~ACTIVE-TAB:2~MAX-TABS:19
Clipboard tekst:~SUB-TAB:tabs~FORMNAME:dd_prod_dd_prod_product_stock_location_tab~TEXT:Voorraadoverzicht~ACTIVE-TAB:1~MAX-TABS:2
Clipboard tekst:~SUB-TAB:tabs~FORMNAME:dd_prod_dd_prod_product_stock_location_tab~TEXT:Voorraadlocatie~ACTIVE-TAB:2~MAX-TABS:2
~BUTTON: btn_new ~FORMNAME: dd_prod_dd_prod_product_stock_loc_tbl
Clipboard tekst:~BUTTON:btn_new~FORMNAME:dd_prod_dd_prod_product_stock_loc_tbl
~FIELD: fld_stock_location_type ~FORMNAME: dd_prod_dd_prod_product_stock_loc_tbl ~DATA: Winkel ~DP: stock_location_type ~TYPE: TYPE_AHEAD ~EDIT: FALSE
~FIELD: fld_stock_location_type ~FORMNAME: dd_prod_dd_prod_product_stock_loc_tbl ~DATA: Winkel ~DP: stock_location_type ~TYPE: TYPE_AHEAD ~EDIT: FALSE
Clipboard tekst:~TAB:tabs~FORMNAME:dd_prod_dd_prod_product_frm1~TEXT:Prijzen~ACTIVE-TAB:3~MAX-TABS:19
