BUTTON;;;;;onbekend;onbekend;;;13626054;497;490;1307;FALSE
LABEL;;;;;-NO-NAME-;;;;16777215;481;623;1315;COMBOBOX
FIELD;;;;;fld_quantityc;dd_pur_dd_pur_order_product_info_dlg;;;16777215;647;650;1333;EDIT
BUTTON;;;;;btn_back;dd_pur_dd_pur_order_product_info_dlg;;;15461355;522;554;1313;FALSE
FIELD;;;;;fld_productcode;dd_pur_dd_pur_order_new_dlg_lst;;;11128314;529;649;1309;EDIT
LABEL;;;;;-NO-NAME-;;;;16777215;483;646;1335;COMBOBOX
FIELD;;;;;fld_quantityc;dd_pur_dd_pur_order_product_info_dlg;;;16777215;653;654;1313;EDIT
BUTTON;;;;;btn_back;dd_pur_dd_pur_order_product_info_dlg;;;6974058;517;560;1327;FALSE
BUTTON;;;;;btn_send;dd_pur_dd_pur_order_new_dlg_frm_wiz2;;;13041587;652;257;1312;FALSE
BUTTON;;;;;onbekend;onbekend;;;14869738;955;585;1332;FALSE
BUTTON;;;;;onbekend;onbekend;;;3289650;959;569;1310;FALSE
FIELD;;;;;fld_quantity;dd_pur_dd_pur_order_new_dlg_lst;;;11128314;1198;677;1313;EDIT
LABEL;;;;;-NO-NAME-;;;;16777215;485;678;1318;COMBOBOX
FIELD;;;;;fld_quantityc;dd_pur_dd_pur_order_product_info_dlg;;;16777215;661;655;1326;EDIT
FIELD;;;;;fld_quantityc;dd_pur_dd_pur_order_product_info_dlg;;;16777215;663;652;1315;EDIT
KEY;;;;;fld_quantityc;BACKSPACE;;;16777215;663;652;778;FALSE
BUTTON;;;;;btn_back;dd_pur_dd_pur_order_product_info_dlg;;;14540772;513;562;1325;FALSE
BUTTON;;;;;btn_send;dd_pur_dd_pur_order_new_dlg_frm_wiz2;;;15132653;691;254;1318;FALSE
BUTTON;;;;;onbekend;onbekend;;;16777215;957;567;1320;FALSE
LABEL;;;;;-NO-NAME-;;;;16777215;478;697;1321;COMBOBOX
FIELD;;;;;fld_quantityc;dd_pur_dd_pur_order_product_info_dlg;;;16777215;641;647;1326;EDIT
BUTTON;;;;;onbekend;onbekend;;;3441611;511;558;1326;FALSE
BUTTON;;;;;btn_send;dd_pur_dd_pur_order_new_dlg_frm_wiz2;;;6422583;685;259;1322;FALSE
BUTTON;;;;;onbekend;onbekend;;;6974058;956;560;1312;FALSE
LABEL;;;;;onbekend;dd_pur_dd_pur_order_new_dlg_lst;;;16263979;1441;599;1317;FALSE
BUTTON;;;;;onbekend;onbekend;;;16645629;929;547;1336;FALSE
LABEL;;;;;onbekend;dd_pur_dd_pur_order_new_dlg_lst;;;11352891;1441;570;1327;FALSE
LABEL;;;;;onbekend;dd_pur_dd_pur_order_new_dlg_lst;;;16263979;1441;574;1330;FALSE
BUTTON;;;;;onbekend;onbekend;;;13823983;939;551;1315;FALSE
BUTTON;;;;;btn_send;dd_pur_dd_pur_order_new_dlg_frm_wiz2;;;13488084;675;253;1318;FALSE
BUTTON;;;;;btn_save;dd_core_email_new_frm;;;6356992;616;261;1325;FALSE
SLUIT;134;325
