KEY;;;;;;ALTTAB;;;16777215;;;762;FALSE
BUTTON;;;;;onbekend;onbekend;;;2631971;1294;168;1295;FALSE
PARAM;;;;;onbekend;onbekend;;;2631971;1294;168;768;FALSE
KEY;;;;;onbekend;ENTER;;;2631971;1294;168;778;FALSE
PARAM;;;;;onbekend;ENTER;;;2631971;1294;168;770;FALSE
KEY;;;;;onbekend;ENTER;;;2631971;1294;168;781;FALSE
KEY;;;;;onbekend;ALTTAB;;;2631971;1294;168;781;FALSE
KEY;;;;;onbekend;ALTTAB;;;2631971;376;163;782;FALSE
KEY;;;;;onbekend;ALTTAB;;;14606039;376;163;780;FALSE
PARAM;;;;;onbekend;ALTTAB;;;2631971;878;204;776;FALSE
KEY;;;;;onbekend;ESC;;;2631971;878;204;780;FALSE
KEY;;;;;onbekend;ENTER;;;2631971;878;204;772;FALSE
KEY;;;;;onbekend;ENTER;;;2631971;878;204;776;FALSE
KEY;;;;;onbekend;ENTER;;;2631971;878;204;777;FALSE
PARAM;;;;;onbekend;ENTER;;;2631971;878;204;782;FALSE
PARAM;;;;;onbekend;ENTER;;;2631971;878;204;768;FALSE
PARAM;;;;;onbekend;ENTER;;;2631971;878;204;783;FALSE
KEY;;;;;onbekend;ENTER;;;2631971;878;204;1069;FALSE
KEY;;;;;onbekend;TAB;;;2631971;878;204;783;FALSE
KEY;;;;;onbekend;TAB;;;2631971;878;204;783;FALSE
KEY;;;;;onbekend;ALTTAB;;;2631971;878;204;780;FALSE
KEY;;;;;onbekend;ALTTAB;;;16777215;766;394;783;FALSE
