NAV-ITEM;;Leverancier;;;;;;;16771528;75;519;1307;FALSE
BUTTON;;Leverancier;;;btn_new;dd_sup_dd_sup_supplier_lst_frm;;;6002626;690;63;1288;FALSE
BUTTON;;Leverancier;;;onbekend;onbekend;;;13693942;599;162;1321;FALSE
BUTTON;;Leverancier;;;btn_nextStep;dd_sup_dd_sup_supplier_new_dlg_frm_wiz1;;;13422291;604;155;1313;FALSE
BUTTON;;Leverancier;;;btn_save;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;13488084;595;156;1319;FALSE
FIELD;;Leverancier;;;fld_street_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;681;266;1326;EDIT
KEY;;Leverancier;;;fld_street_req;TAB;;;16777215;681;266;779;FALSE
FIELD;;Leverancier;;;fld_street_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;688;265;1332;EDIT
INPUT;;Leverancier;;;fld_street_req;wb;;;15198958;556;271;787;FALSE
FIELD;;Leverancier;;;fld_street_nr_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;779;270;1317;EDIT
FIELD;;Leverancier;;;fld_zipcode_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;668;289;1309;EDIT
FIELD;;Leverancier;;;fld_city_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;759;292;1329;EDIT
BUTTON;;Leverancier;;;onbekend;onbekend;;;14869738;765;248;1359;FALSE
FIELD;;Leverancier;;;fld_street_nr_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16448250;788;261;1320;EDIT
INPUT;;Leverancier;;;fld_street_nr_req;12;;;16448250;788;261;770;FALSE
FIELD;;Leverancier;;;fld_zipcode_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;670;287;1325;EDIT
INPUT;;Leverancier;;;fld_zipcode_req;3612AX;;;16448250;670;287;776;FALSE
INPUT;;Leverancier;;;fld_city_req;tiendaar;;;16777215;765;291;782;FALSE
INPUT;;Leverancier;;;fld_city_req;tiendaar;;;16777215;765;291;801;EDIT
FIELD;;Leverancier;;;fld_lastname_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;643;618;1311;EDIT
INPUT;;Leverancier;;;fld_lastname_req;Koppers;;;12171775;643;618;780;FALSE
FIELD;;Leverancier;;;account_nr_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;1150;522;1331;EDIT
INPUT;;Leverancier;;;account_nr_req;265427653233456;;;16448250;1150;522;781;FALSE
FIELD;;Leverancier;;;fld_pricesetting_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;10724517;1066;631;1320;EDIT
FIELD;;Leverancier;;;fld_warehouseLocation_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;15198958;1070;667;1317;EDIT
BUTTON;;Leverancier;;;btn_save;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16645630;591;158;1323;FALSE
KEY;;Leverancier;;;btn_save;BACKSPACE;;;16777215;326;637;776;FALSE
SLUIT;112;189
