NAV-HEADER;Klanten;;;;;;;;9923967;43;299;1281;FALSE
NAV-ITEM;Klanten;Klanten;;;;;;;10253972;71;320;2500;FALSE
BUTTON;Klanten;Klanten;;;btn_detail;dd_cust_dd_cust_customer_lst;;;3826065;207;137;1281;FALSE
SUB-TAB;Klanten;Klanten;;Personen;;dd_cust_dd_cust_customer_communication_tab;2;2;15067333;329;376;1281;FALSE
BUTTON;Klanten;Klanten;;Personen;onbekend;onbekend;2;2;14134153;305;412;1277;FALSE
BUTTON;Klanten;Klanten;;Personen;btn_new_single;dd_core_dd_core_contact_tbl;2;2;12172484;265;447;1297;FALSE
FIELD;Klanten;Klanten;;Personen;fld_comm_type_req;dd_core_dd_core_contact_new_dlg;2;2;8172543;970;434;1281;EDIT
BUTTON;Klanten;Klanten;;Personen;onbekend;onbekend;2;2;16777215;919;488;1293;FALSE
FIELD;Klanten;Klanten;;Personen;-NO-NAME-;dd_core_dd_core_contact_new_dlg;2;2;15922423;881;444;1297;EDIT
BUTTON;Klanten;Klanten;;Personen;onbekend;onbekend;2;2;16777215;871;472;1277;FALSE
INPUT;Klanten;Klanten;;Personen;fld_first_name;Fred;2;2;16777215;871;472;762;FALSE
KEY;Klanten;Klanten;;Personen;fld_first_name;TAB;2;2;16777215;871;472;750;FALSE
INPUT;Klanten;Klanten;;Personen;fld_first_name;de;2;2;16777215;871;472;747;FALSE
KEY;Klanten;Klanten;;Personen;fld_first_name;TAB;2;2;16777215;871;472;750;FALSE
INPUT;Klanten;Klanten;;Personen;fld_first_name;Factuur;2;2;16777215;871;472;747;FALSE
KEY;Klanten;Klanten;;Personen;fld_first_name;TAB;2;2;16448250;871;472;750;FALSE
KEY;Klanten;Klanten;;Personen;fld_first_name;TAB;2;2;16448250;871;472;751;FALSE
KEY;Klanten;Klanten;;Personen;fld_first_name;TAB;2;2;16448250;871;472;766;FALSE
KEY;Klanten;Klanten;;Personen;fld_first_name;BACKSPACE;2;2;16777215;937;596;750;FALSE
FIELD;Klanten;Klanten;;Personen;-NO-NAME-;dd_core_dd_core_contact_new_dlg;2;2;16777215;984;601;1282;EDIT
INPUT;Klanten;Klanten;;Personen;-NO-NAME-;fred@distridata.nl;2;2;16448250;984;601;747;FALSE
BUTTON;Klanten;Klanten;;Personen;btn_save;dd_core_dd_core_contact_new_dlg;2;2;12699340;792;382;1281;FALSE
LABEL;Klanten;Klanten;;Personen;btn_remove_single;;2;2;12803678;1883;494;1281;COMBOBOX
BUTTON;Klanten;Klanten;;Personen;onbekend;onbekend;2;2;16777215;982;561;1276;FALSE
SLUIT;103;164
