FIELD;;;;;fld_quantity_req;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;14352383;839;401;1313;EDIT
INPUT;;;;;fld_quantity_req;24;;;8891391;839;401;787;FALSE
FIELD;;;;;fld_stock_type_req;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;15659508;737;421;1312;EDIT
BUTTON;;;;;onbekend;onbekend;;;15198958;720;477;1319;FALSE
FIELD;;;;;fld_gCode1;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;15528180;782;418;1307;EDIT
BUTTON;;;;;onbekend;onbekend;;;15198958;770;517;1330;FALSE
BUTTON;;;;;onbekend;onbekend;;;8172543;832;428;1311;FALSE
BUTTON;;;;;onbekend;onbekend;;;15198958;838;500;1323;FALSE
FIELD;;;;;fld_gCode3;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;15330543;899;424;1310;EDIT
BUTTON;;;;;onbekend;onbekend;;;15198958;913;477;1314;FALSE
FIELD;;;;;fld_unit_amount;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;16777215;787;311;1309;EDIT
INPUT;;;;;fld_unit_amount;12;;;16448250;787;311;767;FALSE
SLUIT;51;66
