NAV-HEADER;Artikelen;;;;;;;;16448250;47;111;1276;FALSE
NAV-ITEM;Artikelen;Artikelen;;;;;;;9281216;85;135;1272;FALSE
BUTTON;Artikelen;Artikelen;;;btn_detail;dd_prod_dd_prod_product_tbl;;;5213147;203;137;1273;FALSE
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;15133165;974;426;1293;FALSE
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;5142153;251;455;1274;FALSE
BUTTON;Artikelen;Artikelen;;;btn_new_tab_prod;dd_prod_dd_prod_alternative_tbl;;;8307690;287;498;1276;FALSE
INPUT;Artikelen;Artikelen;;;btn_new_tab_prod;heineken;;;8373483;287;498;775;FALSE
KEY;Artikelen;Artikelen;;;btn_new_tab_prod;ENTER;;;8373483;287;498;782;FALSE
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;11128314;466;339;1273;FALSE
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;7294769;443;337;1279;FALSE
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;16777215;937;787;1290;FALSE
SUB-TAB;Artikelen;Artikelen;;Offerte;;dd_prod_dd_prod_product_alternative_main_tab;2;2;15922422;345;450;1289;FALSE
BUTTON;Artikelen;Artikelen;;Offerte;btn_new_tab_prod;dd_prod_dd_prod_offer_alternative_tbl;2;2;13882323;266;499;1289;FALSE
KEY;Artikelen;Artikelen;;Offerte;btn_new_tab_prod;BACKSPACE;2;2;13882323;266;499;776;FALSE
INPUT;Artikelen;Artikelen;;Offerte;btn_new_tab_prod;heineken;2;2;13882323;266;499;768;FALSE
KEY;Artikelen;Artikelen;;Offerte;btn_new_tab_prod;ENTER;2;2;13882323;266;499;767;FALSE
BUTTON;Artikelen;Artikelen;;Offerte;onbekend;onbekend;2;2;3223931;545;339;1286;FALSE
BUTTON;Artikelen;Artikelen;;Offerte;onbekend;onbekend;2;2;16777215;927;793;1289;FALSE
SLUIT;76;128
